Source,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,total_count,Association
Indian Express,2907,88,36,27,31,31,16,21,16,0,35,34,6,28,23,0,3,13,24,5,12,5,2,7,15,13,0,3,6,7,35,5,9,24,7,2,11,7,6,2,27,4,29,16,20,4,10,7,18,8,3,0,9,6,8,12,6,0,5,3,1,5,7,12,3742,India
Indian eGov Newswire,1553,16,63,20,7,19,13,16,17,0,11,11,0,16,9,1,0,1,5,13,28,7,2,0,11,6,0,5,2,5,22,4,5,23,1,11,9,6,2,2,5,2,16,2,13,7,7,4,7,3,0,4,1,0,4,0,4,41,3,1,0,1,3,4,2074,India
Intellinews - Iran Today,130,14,0,8,0,0,1,0,11,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,185,MENA
Iraq News Gazette,200,0,0,4,5,1,4,1,1,0,0,1,4,0,4,1,0,6,3,3,1,0,0,0,0,5,0,1,0,1,1,0,0,0,0,1,1,3,1,1,3,0,4,0,4,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,270,MENA
Irish Examiner,1350,30,23,17,42,24,4,11,20,0,3,23,13,6,10,0,10,4,7,7,5,10,1,5,4,9,30,8,1,11,3,0,3,2,8,2,11,4,4,5,10,5,6,3,2,12,5,4,6,5,1,0,3,2,3,4,1,0,5,2,3,5,5,1,1823,Europe
Irish Independent,656,17,13,19,15,13,10,6,5,0,0,4,2,1,4,0,1,2,2,7,4,7,4,2,2,4,15,0,0,1,0,0,6,3,3,3,7,4,0,2,5,1,2,3,2,1,2,0,0,2,1,0,5,1,0,1,1,0,2,2,0,4,0,4,883,Europe
Jerusalem Post,3671,29,96,95,33,36,37,39,43,0,51,11,4,11,33,0,5,16,18,23,9,8,11,7,8,49,60,10,410,10,21,21,15,33,21,12,18,13,19,20,38,5,10,15,25,25,23,12,14,8,5,1,6,6,11,6,16,0,8,3,2,5,3,18,5291,Israel
L' Orient Today,747,4,2,51,10,7,15,1,17,0,0,1,7,1,10,0,4,19,1,0,1,6,0,3,4,11,0,0,1,1,2,0,0,7,0,2,2,3,2,0,2,3,4,0,5,2,5,1,2,0,0,0,1,1,2,2,2,0,1,2,1,2,2,2,984,MENA
Las Positas College Express: Las Positas College,26,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,US
London Free Press,197,0,1,1,0,4,0,3,1,0,5,0,0,0,0,0,3,1,0,0,3,1,2,0,0,0,5,1,2,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,240,Canada
Ludwig Von Mises Institute Of Canada,17,0,0,2,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Canada
MINT,2614,720,27,71,22,13,27,6,50,0,8,178,19,7,21,0,6,22,27,7,11,2,5,2,4,4,0,6,3,3,3,3,3,10,4,7,3,13,7,2,3,2,15,2,9,4,1,6,8,8,3,0,3,7,2,3,3,158,5,5,4,5,1,1,4198,India
Macdonald-Laurier Institute For Public Policy,141,2,3,2,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,1,0,1,0,2,1,0,1,1,2,0,0,1,0,0,0,0,0,2,0,0,2,0,1,177,Canada
Mail on Sunday (London),2074,25,43,11,23,51,11,8,17,0,12,12,5,7,5,0,20,11,11,15,5,10,18,14,13,4,52,13,4,8,25,8,12,13,15,17,8,7,9,5,4,24,0,9,3,9,7,12,3,9,2,0,4,2,5,5,2,0,1,9,6,0,18,1,2756,Europe
MailOnline,13739,138,183,120,298,261,136,115,68,0,150,31,123,75,92,1,160,104,82,108,83,84,131,56,56,18,1,154,32,68,67,91,71,46,53,99,50,47,56,83,24,83,32,63,15,47,28,56,42,67,2,0,22,61,40,24,40,0,26,29,41,18,48,15,18153,Europe
Manawatu Standard (New Zealand),545,0,7,1,2,0,6,0,2,0,1,0,1,0,3,2,4,0,1,0,0,4,0,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,4,4,0,3,13,0,1,0,0,0,0,0,0,0,3,0,0,0,620,New Zealand
Manila Bulletin,808,17,22,16,2,5,15,5,3,0,12,4,2,2,2,0,8,0,7,1,9,4,0,1,3,6,0,0,1,0,4,1,5,20,6,1,1,2,0,1,0,0,7,4,1,4,6,0,4,1,0,0,2,0,0,1,8,62,0,2,0,3,2,4,1107,Philippines
Mehr News Agency (MNA),80,2,0,2,1,0,1,0,3,0,1,0,1,0,2,0,1,4,2,0,0,0,0,0,0,2,0,1,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,112,MENA
Metro (UK),266,0,2,2,18,0,4,1,2,0,2,0,4,0,0,0,8,12,0,6,0,0,0,0,6,0,12,0,0,0,0,0,4,2,0,0,0,4,3,2,2,2,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,4,6,0,0,0,381,Europe
Michigan Daily: University of Michigan-Ann Arbor,160,0,14,0,2,4,0,8,0,0,6,0,1,3,0,0,0,4,0,4,2,4,3,2,0,0,0,1,4,2,8,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,249,US
Minnesota Daily: University of Minnesota,86,0,5,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,1,2,0,0,3,0,1,2,2,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,US
Mississippi Center For Public Policy,32,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,41,US
NAFTA (English),643,116,0,30,2,24,4,0,39,0,0,47,2,0,13,0,0,1,4,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,7,0,3,1,2,4,0,0,2,0,0,0,1,1,4,0,0,0,3,0,0,0,0,4,969,North America
National Center For Public Policy Research,22,0,9,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,US
National Iraqi News Agency (NINA),379,2,0,1,6,1,3,1,4,0,0,1,4,0,4,1,0,5,3,3,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,1,1,0,2,4,0,4,0,4,0,0,0,1,1,0,0,0,2,1,0,0,0,0,3,1,1,0,1,454,MENA
National Post (f/k/a The Financial Post) (Canada),1998,85,22,23,6,25,12,27,22,0,22,10,1,7,10,0,4,7,5,10,15,10,11,9,1,13,18,14,10,6,11,17,1,7,1,6,4,7,14,14,6,1,3,11,7,6,1,9,8,7,7,0,12,1,14,10,4,0,5,2,3,5,6,9,2622,Canada
